"Main","Day","TotalVol"
" WILLIAM R ALLEN RD ","Tuesday",59887
" QUEEN ST W ","Tuesday",58971
" YORK ST ","Wednesday",58712
" SHEPPARD AVE W ","Thursday",58633
" DANFORTH RD ","Wednesday",56540
" QUEEN ST W ","Thursday",56044
" ELLESMERE RD ","Wednesday",55977
" MIDLAND AVE ","Saturday",55127
" O CONNOR DR ","Tuesday",55036
" DUNDAS ST E ","Thursday",54464
" STEELES AVE W ","Thursday",54308
" THE EAST MALL ","Tuesday",54118
" QUEENS QUAY W ","Wednesday",53710
" SPADINA AVE ","Tuesday",53656
" RICHMOND ST W ","Tuesday",51666
" MCNICOLL AVE ","Thursday",51588
" NEILSON RD ","Saturday",51458
" QUEENS PARK CRES E ","Wednesday",51441
" KIPLING AVE ","Monday",51306
" YORK ST ","Tuesday",50532
" BURNHAMTHORPE RD ","Tuesday",50369
" HIGHWAY 27 ","Wednesday",50335
" VICTORIA PARK AVE ","Saturday",50181
" PROGRESS AVE ","Monday",49663
" PHARMACY AVE ","Monday",49341
" DUPONT ST ","Saturday",49285
" MIDLAND AVE ","Tuesday",48508
" QUEEN ST E ","Thursday",48027
" WARDEN AVE ","Saturday",47369
" GERRARD ST E ","Thursday",46880
" QUEEN ST E ","Monday",46671
" SPADINA RD ","Thursday",46251
" HIGHWAY 27 ","Thursday",45489
" GERRARD ST E ","Monday",44900
" BAYVIEW AVE ","Saturday",44873
" SPADINA AVE ","Wednesday",44682
" LAKE SHORE BLVD E ","Wednesday",44416
" SCARLETT RD ","Tuesday",43365
" FRONT ST W ","Tuesday",42641
" KING ST W ","Saturday",42592
" COXWELL AVE ","Monday",42588
" ST CLAIR AVE E ","Thursday",42508
" ALBION RD ","Saturday",42329
" PHARMACY AVE ","Saturday",42245
" COXWELL AVE ","Thursday",41887
" EASTERN AVE ","Monday",41818
" PARK LAWN RD ","Thursday",41564
" COLLEGE ST ","Thursday",40226
" LAIRD DR ","Saturday",39086
" DANFORTH RD ","Saturday",39071
" ORIOLE PKWY ","Wednesday",38568
" JARVIS ST ","Saturday",38242
" BROADVIEW AVE ","Tuesday",38168
" DUPONT ST ","Thursday",38062
" ISLINGTON AVE ","Monday",37973
" DIXON RD ","Monday",37841
" BLOOR ST ","Thursday",37733
" ADELAIDE ST E ","Tuesday",37282
" DANFORTH AVE ","Monday",36808
" OVERLEA BLVD ","Wednesday",36711
" UNIVERSITY AVE ","Monday",36542
" ANNETTE ST ","Thursday",36316
" SHEPPARD AVE W ","Monday",35161
" UNIVERSITY AVE ","Wednesday",34734
" ADELAIDE ST W ","Tuesday",34437
" SHEPPARD AVE W ","Saturday",34433
" ADELAIDE ST W ","Thursday",34170
" REXDALE BLVD ","Friday",33699
" BIRCHMOUNT RD ","Tuesday",33490
" PHARMACY AVE ","Wednesday",33422
" PARLIAMENT ST ","Saturday",33163
" FRONT ST W ","Wednesday",32878
" DORIS AVE ","Thursday",32873
" HARBORD ST ","Wednesday",32856
" BIRCHMOUNT RD ","Saturday",32655
" WYNFORD DR ","Tuesday",32627
" ROYAL YORK RD ","Tuesday",32179
" PROGRESS AVE ","Tuesday",31833
" ST GEORGE ST ","Wednesday",31594
" BRIMLEY RD ","Wednesday",31333
" SHERBOURNE ST ","Tuesday",31212
" MOUNT PLEASANT RD ","Saturday",31177
" FRONT ST W ","Monday",30998
" LAKE SHORE BLVD E ","Thursday",30651
" PARKSIDE DR ","Wednesday",30555
" ST CLAIR AVE W ","Saturday",30346
" BROADVIEW AVE ","Monday",29716
" HARBORD ST ","Thursday",29463
" MOUNT PLEASANT RD ","Thursday",29289
" JARVIS ST ","Wednesday",29197
" MIDDLEFIELD RD ","Wednesday",28921
" FAIRVIEW MALL DR ","Wednesday",28841
" CHURCH ST ","Thursday",28820
" OSSINGTON AVE ","Thursday",28789
" LAWRENCE AVE W ","Friday",28771
" CHERRY ST ","Monday",28616
" MARTIN GROVE RD ","Thursday",28598
" PARLIAMENT ST ","Tuesday",28490
" BLACK CREEK DR ","Monday",28148
" EVANS AVE ","Thursday",28136
" MORNINGSIDE AVE ","Saturday",28107
" KING ST E ","Wednesday",27642
" EASTERN AVE ","Saturday",27585
" FINCH AVE W ","Friday",27468
" DAVENPORT RD ","Wednesday",27365
" LAIRD DR ","Thursday",27272
" BLOOR ST W ","Saturday",27099
" WILLOWDALE AVE ","Monday",27055
" MARLEE AVE ","Tuesday",26946
" SIMCOE ST ","Thursday",26902
" OVERLEA BLVD ","Thursday",26746
" PROGRESS AVE ","Wednesday",26693
" CALEDONIA RD ","Monday",26578
" SPADINA AVE ","Monday",26308
" DUNDAS ST E ","Tuesday",26276
" BEECROFT RD ","Thursday",26060
" PROGRESS AVE ","Thursday",26043
" WOODBINE AVE ","Thursday",25745
" RICHMOND ST E ","Tuesday",25545
" MILNER AVE ","Tuesday",25470
" O CONNOR DR ","Thursday",25310
" WILSON HEIGHTS BLVD ","Thursday",25174
" EVANS AVE ","Wednesday",25011
" PARLIAMENT ST ","Wednesday",24765
" LAKE SHORE BLVD E ","Saturday",24630
" MILLWOOD RD ","Thursday",24589
" BROADVIEW AVE ","Wednesday",24501
" CUMMER AVE ","Thursday",24413
" JANE ST ","Saturday",24401
" EVANS AVE ","Tuesday",24251
" HIGHWAY 27 ","Saturday",24150
" KIPLING AVE ","Friday",24084
" DUPONT ST ","Wednesday",24076
" PARK HOME AVE ","Monday",24062
" BRIMLEY RD ","Saturday",24059
" MILLWOOD RD ","Saturday",23982
