Tcs, Main , Midblock_Route , Side_1_Route , Side_2_Route ,Activation_Date,Latitude,Longitude,Count_Date,eight_Peak_Hr_Vehicle_Volume,eight_Peak_Hr_Pedestrian_Volume
1656, LAWRENCE AVE W ,, PIMLICO RD , PRIVATE ACCESS ,10/14/1993,43.70754,-79.48244,06-22-2011,18067,382
1657, WARDEN AVE ,, SHERWOOD AVE , PRIVATE ACCESS ,11/02/1993,43.74226,-79.29346,05-06-2015,16276,149
1658, NEILSON RD , 175m NORTH OF , TAPSCOTT RD , PRIVATE ACCESS ,12/09/1993,43.80791,-79.21975,04-05-2012,10803,1289
1659, KIPLING AVE ,, ANNABELLE DR , ROWNTREE RD ,06/15/1993,43.75096,-79.58574,05-15-2015,10272,1568
1660, TRETHEWEY DR ,, CLEARVIEW HTS ,,01/12/1994,43.69326,-79.47849,04-12-2011,8666,783
1661, KENNEDY RD , 45m SOUTH OF , KENMARK BLVD , PRIVATE ACCESS ,09/16/1993,43.72952,-79.2668,12-08-2009,9785,1317
1662, SHEPPARD AVE W ,, EASTON RD , BRENTWOOD AVE ,06/16/1993,43.75823,-79.42581,06-20-2007,15996,612
1663, FINCH AVE W ,, JAYZEL DR , PRIVATE ACCESS ,12/06/1993,43.75069,-79.54902,12-08-2009,19878,418
1664, DANFORTH AVE ,, BYNG AVE ,,11/04/1993,43.6930384,-79.280102,05-06-2015,11703,826
1665, SHEPPARD AVE W ,, GODDARD ST ,,11/25/1993,43.75353,-79.44806,03-19-2014,14838,413
1666, SHEPPARD AVE W , 215m WEST OF , KEELE ST ,,09/14/1993,43.74434,-79.48883,08-02-2012,12853,318
1667, WILSON AVE ,, ANCASTER RD ,,10/26/1993,43.7309525,-79.4654883,03-08-2016,14648,306
1668, REXDALE BLVD ,, QUEENS PLATE DR ,,08/30/1993,43.71659,-79.59269,04-21-2016,19529,201
1669, KINGSTON RD ,, SCARBOROUGH RD ,,12/13/1993,43.68056,-79.28705,11-11-2015,11790,2467
1670, KINGSTON RD ,, ELLESMERE RD , PRIVATE ACCESS ,12/15/1993,43.7935656,-79.1546196,02-27-2016,5087,32
1671, KENNEDY RD ,, TROJAN GT ,,12/23/1993,43.803882,-79.298174,10-30-2012,16802,399
1672, STEELES AVE W ,, SHALE GT , CAPSTAN GT ,12/30/1993,43.78327,-79.4873,05-13-2015,25173,336
1673, KEELE ST ,, MILFORD AVE ,,12/14/1993,43.70457,-79.4771,04-13-2016,13698,405
1674, SHEPPARD AVE W , 100m WEST OF , BANTING AVE , PRIVATE ACCESS ,05/09/1994,43.75084,-79.46077,03-25-2014,19848,1007
1675, JANE ST , 35m NORTH OF , MARSHLYNN AVE ,,12/20/1994,43.70472,-79.50427,11-25-2013,17020,1342
1676, BLOOR ST W ,, GREEN LANES , PRIVATE ACCESS ,11/03/1994,43.64422,-79.5256,05-28-2012,13882,1637
1678, AVENUE RD , 150m SOUTH OF , CARIBOU RD , PRIVATE ACCESS ,09/01/1994,43.71961,-79.41486,04-06-2017,20887,79
1679, WESTON RD ,, GARYRAY DR ,,10/06/1994,43.76769,-79.54592,10-25-2016,11656,148
1680, O CONNOR DR ,, CURITY AVE , PRIVATE ACCESS ,12/21/1994,43.70793,-79.31106,10-26-2009,15499,487
1681, ST CLAIR AVE E ,, PLAXTON DR ,,09/22/1994,43.70768,-79.30263,12-14-2016,12213,246
1682, WELLINGTON ST W ,, BLUE JAYS WAY ,,09/29/1994,43.6447334,-79.3917762,06-22-2015,6090,7101
1683, BATHURST ST ,, LENNOX ST ,,10/18/1994,43.66385,-79.41068,06-03-2014,15950,3252
1684, KENNEDY RD ,, NORCAP AVE ,,11/02/1994,43.79722,-79.29432,12-01-2009,17153,138
1685, MIDDLEFIELD RD ,, INGLETON BLVD , PASSMORE AVE ,01/11/1995,43.82739,-79.26524,03-09-2016,11917,175
1686, SHEPPARD AVE E ,, IDAGROVE GT , PRIVATE ACCESS ,10/11/1994,43.80734,-79.17552,04-03-2014,7182,311
1687, ELLESMERE RD ,, MEADOWVALE RD ,,07/28/1994,43.7925,-79.16354,02-27-2016,5216,222
1688, BLOOR ST W ,, GLENDONWYNNE RD , PRIVATE ACCESS ,10/25/1994,43.65164,-79.47408,01-12-2017,11287,4580
1689, LAKE SHORE BLVD W ,, THIRTEENTH ST ,,08/12/1994,43.59935,-79.51186,02-04-2014,8594,644
1690, STEELES AVE E ,, PICKERING TOWN LINE ,,12/15/1994,43.85545,-79.17025,04-18-2011,12685,0
1691, QUEEN ST W ,, YORK ST ,,01/25/1995,43.651199,-79.3849089,11-10-2016,8557,7961
1692, WARDEN AVE ,, CANADIAN RD , PRIVATE ACCESS ,12/10/1995,43.7585,-79.30002,05-05-2015,22133,313
1693, DREWRY AVE ,, HILDA AVE ,,06/17/1997,43.78565,-79.42409,05-16-2012,9696,923
1694, WESTON RD ,, KING ST , KING STREET CRES ,06/27/1995,43.70139,-79.52065,01-16-2012,9264,1341
1695, MEADOWVALE RD ,, 401 C E MEADOWVALE RD RAMP ,,05/13/1998,43.79826213,-79.16595254,11-29-2012,8454,17
1696, LAWRENCE AVE E , 165m WEST OF , MARKHAM RD , PRIVATE ACCESS ,09/23/1998,43.75931,-79.22774,06-25-2012,20575,1025
1697, HARBORD ST ,, MONTROSE AVE ,,08/16/1995,43.65952,-79.41952,05-24-2012,8060,1215
1698, GERRARD ST E ,, MARJORY AVE ,,08/24/1995,43.66881,-79.33754,05-15-2017,8796,2347
1699, WILLIAM R ALLEN RD ,, DUFFERIN ST , KENNARD AVE ,08/11/1995,43.75953,-79.46498,02-14-2012,26863,199
1700, MCLEVIN AVE ,, SEWELLS RD ,,10/26/1995,43.81057,-79.21392,02-22-2012,5420,817
